student_id,career_id,interaction_strength
SYN_001,119,0.3025
SYN_001,114,0.5603
SYN_001,116,0.4966
SYN_001,110,0.9414
SYN_001,117,0.7151
SYN_001,108,0.8582
SYN_001,102,0.5547
SYN_001,111,0.3818
SYN_002,109,0.9145
SYN_002,106,0.8227
SYN_002,111,0.3557
SYN_002,119,0.5734
SYN_002,115,0.235
SYN_002,117,0.3234
SYN_002,102,0.7464
SYN_002,116,0.7958
SYN_003,106,0.7359
SYN_003,116,0.5497
SYN_003,110,0.8661
SYN_003,118,0.7602
SYN_003,105,0.4499
SYN_003,107,0.8658
SYN_003,114,0.8438
SYN_003,102,0.51
SYN_004,119,0.7641
SYN_004,117,0.8246
SYN_004,105,0.5671
SYN_004,112,0.655
SYN_004,104,0.3118
SYN_004,103,0.2916
SYN_004,118,0.7347
SYN_004,113,0.5769
SYN_005,118,0.3717
SYN_005,111,0.5268
SYN_005,120,0.8827
SYN_005,102,0.3872
SYN_005,108,0.2466
SYN_005,110,0.4251
SYN_005,113,0.4349
SYN_005,112,0.7295
SYN_006,113,0.272
SYN_006,120,0.7779
SYN_006,118,0.5695
SYN_006,106,0.329
SYN_006,102,0.6008
SYN_006,114,0.3218
SYN_006,109,0.7571
SYN_006,116,0.5569
SYN_007,105,0.7598
SYN_007,112,0.4127
SYN_007,118,0.9753
SYN_007,106,0.823
SYN_007,119,0.7735
SYN_007,104,0.5595
SYN_007,103,0.4178
SYN_007,108,0.2771
SYN_008,104,0.8068
SYN_008,108,0.7756
SYN_008,107,0.5457
SYN_008,112,0.7018
SYN_008,115,0.6673
SYN_008,103,0.7199
SYN_008,113,0.2676
SYN_008,114,0.5326
SYN_009,120,0.6648
SYN_009,104,0.4775
SYN_009,113,0.6727
SYN_009,108,0.2182
SYN_009,103,0.9668
SYN_009,101,0.5858
SYN_009,111,0.8262
SYN_009,106,0.2662
SYN_010,119,0.6165
SYN_010,113,0.5511
SYN_010,118,0.2173
SYN_010,104,0.861
SYN_010,120,0.9169
SYN_010,108,0.3122
SYN_010,111,0.6432
SYN_010,109,0.2869
SYN_011,117,0.2299
SYN_011,114,0.6439
SYN_011,105,0.4967
SYN_011,102,0.8638
SYN_011,109,0.8466
SYN_011,110,0.4537
SYN_011,112,0.9623
SYN_011,115,0.4327
SYN_012,118,0.9133
SYN_012,119,0.7989
SYN_012,108,0.9126
SYN_012,105,0.9148
SYN_012,104,0.6151
SYN_012,103,0.4527
SYN_012,115,0.8176
SYN_012,109,0.7293
SYN_013,113,0.3226
SYN_013,115,0.3434
SYN_013,102,0.6795
SYN_013,120,0.8996
SYN_013,114,0.3571
SYN_013,118,0.4483
SYN_013,108,0.8219
SYN_013,106,0.9775
SYN_014,101,0.6051
SYN_014,103,0.7554
SYN_014,116,0.6649
SYN_014,108,0.3598
SYN_014,117,0.8433
SYN_014,111,0.7723
SYN_014,104,0.7912
SYN_014,107,0.3048
SYN_015,106,0.9398
SYN_015,117,0.2199
SYN_015,109,0.6442
SYN_015,107,0.7072
SYN_015,108,0.2847
SYN_015,119,0.3123
SYN_015,115,0.5353
SYN_015,102,0.973
SYN_016,109,0.8635
SYN_016,120,0.8375
SYN_016,103,0.3861
SYN_016,104,0.6246
SYN_016,114,0.6848
SYN_016,119,0.8942
SYN_016,117,0.6825
SYN_016,116,0.5301
SYN_017,118,0.8533
SYN_017,112,0.2842
SYN_017,102,0.2532
SYN_017,117,0.6755
SYN_017,106,0.3169
SYN_017,119,0.8597
SYN_017,107,0.4483
SYN_017,114,0.3151
SYN_018,112,0.3397
SYN_018,106,0.2427
SYN_018,103,0.6729
SYN_018,118,0.7446
SYN_018,114,0.5149
SYN_018,110,0.4544
SYN_018,116,0.6036
SYN_018,113,0.9
SYN_019,117,0.4989
SYN_019,111,0.619
SYN_019,119,0.2813
SYN_019,104,0.8668
SYN_019,109,0.2416
SYN_019,101,0.9399
SYN_019,105,0.2793
SYN_019,112,0.8749
SYN_020,112,0.6289
SYN_020,101,0.6114
SYN_020,114,0.8861
SYN_020,120,0.5702
SYN_020,106,0.5081
SYN_020,104,0.7117
SYN_020,117,0.4132
SYN_020,116,0.3118
SYN_021,119,0.4375
SYN_021,106,0.9591
SYN_021,116,0.9331
SYN_021,105,0.5847
SYN_021,107,0.4627
SYN_021,108,0.6283
SYN_021,103,0.8788
SYN_021,111,0.7221
SYN_022,116,0.8886
SYN_022,102,0.3057
SYN_022,119,0.6915
SYN_022,114,0.2761
SYN_022,109,0.7806
SYN_022,110,0.2676
SYN_022,103,0.9488
SYN_022,113,0.3099
SYN_023,103,0.276
SYN_023,114,0.6929
SYN_023,116,0.337
SYN_023,113,0.652
SYN_023,107,0.6579
SYN_023,109,0.5728
SYN_023,111,0.6181
SYN_023,120,0.8111
SYN_024,113,0.7263
SYN_024,117,0.5349
SYN_024,112,0.8195
SYN_024,119,0.737
SYN_024,109,0.4669
SYN_024,108,0.9187
SYN_024,105,0.81
SYN_024,103,0.4164
SYN_025,103,0.6424
SYN_025,120,0.9489
SYN_025,106,0.8242
SYN_025,117,0.5835
SYN_025,108,0.5011
SYN_025,116,0.9893
SYN_025,119,0.7742
SYN_025,111,0.961
SYN_026,116,0.5635
SYN_026,115,0.8603
SYN_026,106,0.4363
SYN_026,102,0.5668
SYN_026,103,0.5539
SYN_026,113,0.4415
SYN_026,105,0.9348
SYN_026,110,0.825
SYN_027,102,0.7201
SYN_027,101,0.2724
SYN_027,116,0.9176
SYN_027,106,0.2232
SYN_027,120,0.3927
SYN_027,108,0.3144
SYN_027,118,0.8214
SYN_027,114,0.3586
SYN_028,117,0.3908
SYN_028,119,0.8795
SYN_028,105,0.2458
SYN_028,114,0.8408
SYN_028,112,0.9422
SYN_028,120,0.8177
SYN_028,101,0.7585
SYN_028,109,0.8704
SYN_029,101,0.7877
SYN_029,111,0.3544
SYN_029,107,0.4166
SYN_029,106,0.7679
SYN_029,114,0.9842
SYN_029,104,0.6892
SYN_029,103,0.2436
SYN_029,102,0.693
SYN_030,116,0.5668
SYN_030,114,0.8273
SYN_030,120,0.7091
SYN_030,109,0.6579
SYN_030,104,0.3161
SYN_030,103,0.9568
SYN_030,115,0.4411
SYN_030,101,0.6624
